id,eventType,teamId,playerId,player,x,y,min,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,shotType,situation,period,isOwnGoal,isSavedOffLine,isFromInsideBox,box,homeTeamId,awayTeamId,homeTeamName,awayTeamName,homeScore,awayScore,matchId,matchDate,teamColor,teamColorDark,league,season,team,expectedGoalsOnTarget,minAdded
2687210721,AttemptSaved,10079,509189,Elias Gomez,93.3,33.31375,17,True,True,94.8684210512,33.31375,33.31375,1.219999994,0.045378003269434,LeftFoot,FromCorner,FirstHalf,False,False,True,InsideBox,10103,10079,Gimnasia LP,Velez Sarsfield,3,1,4393180,2024-05-13T22:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,,
2692587637,Miss,10079,509189,Elias Gomez,80.4577669912,47.5740127358,24,False,False,,,31.48375,5.1842758704,0.025228139013052,LeftFoot,RegularPlay,FirstHalf,False,False,False,OutsideBox,10078,10079,Independiente,Velez Sarsfield,1,1,4393197,2024-05-26T23:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,,
2692603059,AttemptSaved,10079,509189,Elias Gomez,85.81617647,51.0071337565,62,True,True,90.5,47.2937579586,35.525,1.219999994,0.0289672948420048,LeftFoot,RegularPlay,SecondHalf,False,False,False,OutsideBox,10078,10079,Independiente,Velez Sarsfield,1,1,4393197,2024-05-26T23:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,,
2693824799,AttemptSaved,10079,509189,Elias Gomez,95.5438596479,40.721666667,47,False,True,102.9137931036,35.75375,35.22,1.0145263108,0.0293207578361034,Header,RegularPlay,SecondHalf,False,False,True,InsideBox,10079,161727,Velez Sarsfield,Atletico Tucuman,1,1,4393225,2024-06-01T23:15:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0451,
2705621101,Miss,10079,509189,Elias Gomez,67.0558252464,38.368333335,63,False,False,,,42.00375,3.1335172432,0.016224205493927,LeftFoot,RegularPlay,SecondHalf,False,False,False,OutsideBox,10079,161730,Velez Sarsfield,Defensa y Justicia,3,0,4393261,2024-08-03T18:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0,
2708331589,Miss,10079,509189,Elias Gomez,76.6286407784,50.5867515907,45,False,False,,,37.756,3.4984827616,0.0109316548332572,LeftFoot,RegularPlay,FirstHalf,False,False,False,OutsideBox,10087,10079,Banfield,Velez Sarsfield,2,2,4393263,2024-08-11T20:30:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0,2.0
2715883479,Goal,10079,509189,Elias Gomez,101.3965517244,39.62904762,29,False,True,,,34.61,1.0979999946,0.194033160805702,Header,RegularPlay,FirstHalf,False,False,True,InsideBox,10079,161729,Velez Sarsfield,Independiente Rivadavia,4,0,4393354,2024-08-31T21:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.11826941370964,
2710196087,Miss,10079,523417,Emanuel Mammana,102.155172414,21.4068789844,79,False,False,,,31.255,3.7417931072,0.00993428472429514,Header,FromCorner,SecondHalf,False,False,True,InsideBox,10079,10090,Velez Sarsfield,Instituto,1,0,4393332,2024-08-17T23:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0,
2686896811,Miss,161727,1083898,Augustin Lagos,78.5432038848,51.8478980881,34,False,False,,,34.99125,5.1842758704,0.0358200408518314,RightFoot,FreeKick,FirstHalf,False,False,False,OutsideBox,161727,10077,Atletico Tucuman,Boca Juniors,1,0,4393177,2024-05-12T23:15:00Z,#68b0de,#68b0de,Liga Profesional,2024,Velez Sarsfield,,
2689920489,Miss,161727,1083898,Augustin Lagos,78.9936893216,30.4925,36,False,False,87.2117647056,35.75375,48.9052229275,0.0898947364,0.00944643002003431,RightFoot,SetPiece,FirstHalf,False,False,False,OutsideBox,10101,161727,Talleres,Atletico Tucuman,2,0,4393175,2024-05-19T20:45:00Z,#68b0de,#68b0de,Liga Profesional,2024,Velez Sarsfield,,
2692828627,AttemptSaved,161727,1083898,Augustin Lagos,76.5160194192,31.56,29,True,True,80.5703883504,31.94125,34.4575,1.219999994,0.0192888732999563,LeftFoot,RegularPlay,FirstHalf,False,False,False,OutsideBox,161727,10089,Atletico Tucuman,Club Atletico Platense,1,1,4393198,2024-05-28T00:00:00Z,#68b0de,#68b0de,Liga Profesional,2024,Velez Sarsfield,,
2692833617,Miss,161727,1083898,Augustin Lagos,78.655825244,37.66,58,False,False,90.5,38.368333335,44.0007643265,0.8925263114,0.0124602867290378,RightFoot,SetPiece,SecondHalf,False,False,False,OutsideBox,161727,10089,Atletico Tucuman,Club Atletico Platense,1,1,4393198,2024-05-28T00:00:00Z,#68b0de,#68b0de,Liga Profesional,2024,Velez Sarsfield,,
2693807021,AttemptSaved,161727,1083898,Augustin Lagos,76.966504856,42.6396875,30,False,True,102.2500000002,34.1525,35.0675,1.2585263096,0.018048670142889,RightFoot,SetPiece,FirstHalf,False,False,False,OutsideBox,10079,161727,Velez Sarsfield,Atletico Tucuman,1,1,4393225,2024-06-01T23:15:00Z,#68b0de,#68b0de,Liga Profesional,2024,Velez Sarsfield,0.0477,
2696280979,AttemptSaved,161727,1083898,Augustin Lagos,94.675438595,54.9471089971,45,False,True,104.051724138,35.90625,35.60125,2.1125263054,0.0424101427197456,RightFoot,FreeKick,FirstHalf,False,False,False,OutsideBox,161727,161730,Atletico Tucuman,Defensa y Justicia,1,1,4393203,2024-06-15T23:30:00Z,#68b0de,#68b0de,Liga Profesional,2024,Velez Sarsfield,0.1552,2.0
2703329877,Miss,10079,1083898,Augustin Lagos,93.2,20.7062420414,90,False,False,,,30.87375,6.0271724248,0.0437830314040184,RightFoot,RegularPlay,SecondHalf,False,False,True,InsideBox,10089,10079,Club Atletico Platense,Velez Sarsfield,0,2,4393277,2024-07-25T21:45:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0,0.0
2693795421,AttemptSaved,10079,1200718,Roberto Garcia,88.5,35.6775,9,False,True,104.051724138,34.1525,36.21125,1.3034736778,0.0502074174582958,RightFoot,FromCorner,FirstHalf,False,False,False,OutsideBox,10079,161727,Velez Sarsfield,Atletico Tucuman,1,1,4393225,2024-06-01T23:15:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.1675,
2696035515,Miss,10079,1200718,Roberto Garcia,91.9,24.5597452279,12,False,False,,,34.99125,6.1488275976,0.016780249774456,RightFoot,FromCorner,FirstHalf,False,False,True,InsideBox,10077,10079,Boca Juniors,Velez Sarsfield,1,0,4393204,2024-06-14T22:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,,
2708351379,AttemptSaved,10079,1200718,Roberto Garcia,81.471359224,22.5979617875,86,True,True,85.0647058816,24.0692993678,33.39,1.219999994,0.0147607754915953,RightFoot,RegularPlay,SecondHalf,False,False,False,OutsideBox,10087,10079,Banfield,Velez Sarsfield,2,2,4393263,2024-08-11T20:30:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0,
2714033375,AttemptSaved,10079,1200718,Roberto Garcia,76.1781553416,24.955625,42,False,True,101.9655172416,33.8475,31.78875,1.0145263108,0.0213526897132397,RightFoot,RegularPlay,FirstHalf,False,False,False,OutsideBox,213534,10079,Barracas Central,Velez Sarsfield,0,5,4393328,2024-08-26T19:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0843360722064972,
2689940065,AttemptSaved,10087,1244341,Aaron Quiroz,80.7956310688,26.2853125,64,True,True,83.723786408,27.026190476,33.695,1.219999994,0.02628118917346,LeftFoot,RegularPlay,SecondHalf,False,False,False,OutsideBox,10087,10081,Banfield,Huracan,1,1,4393171,2024-05-19T20:45:00Z,#007934,#007934,Liga Profesional,2024,Velez Sarsfield,,
2692570179,AttemptSaved,10087,1244341,Aaron Quiroz,96.2192982446,31.4075,87,False,True,103.4827586208,33.46625,35.0675,0.770526312,0.047756988555193,Header,FromCorner,SecondHalf,False,False,True,InsideBox,10103,10087,Gimnasia LP,Banfield,3,0,4393195,2024-05-26T20:45:00Z,#007934,#007934,Liga Profesional,2024,Velez Sarsfield,0.0434,
2696052111,AttemptSaved,10079,1338016,Valentin Gomez,80.908252428,46.1727388498,90,False,True,103.577586207,34.53375,30.7975,0.5265263132,0.0286795888096094,LeftFoot,RegularPlay,SecondHalf,False,False,False,OutsideBox,10077,10079,Boca Juniors,Velez Sarsfield,1,0,4393204,2024-06-14T22:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.3989,9.0
2705624237,Miss,10079,1338016,Valentin Gomez,101.3965517244,29.631666665,67,False,False,,,34.4575,6.6354482888,0.199953973293304,Header,FromCorner,SecondHalf,False,False,True,InsideBox,10079,161730,Velez Sarsfield,Defensa y Justicia,3,0,4393261,2024-08-03T18:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0,
2705625365,Miss,10079,1338016,Valentin Gomez,93.3,37.708,69,False,False,,,36.5925,4.341379316,0.0139829553663731,Header,FromCorner,SecondHalf,False,False,True,InsideBox,10079,161730,Velez Sarsfield,Defensa y Justicia,3,0,4393261,2024-08-03T18:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0,
2715904475,Miss,10079,1338016,Valentin Gomez,95.4473684198,36.8975,52,False,False,,,34.07625,4.341379316,0.0379653424024582,Header,FromCorner,SecondHalf,False,False,True,InsideBox,10079,161729,Velez Sarsfield,Independiente Rivadavia,4,0,4393354,2024-08-31T21:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0,
2715905561,Miss,10079,1338016,Valentin Gomez,97.7631578942,31.1025,54,False,False,99.5948275866,68.0,67.2128909948,0.2696842092,0.0971332564949989,Header,SetPiece,SecondHalf,False,False,True,InsideBox,10079,161729,Velez Sarsfield,Independiente Rivadavia,4,0,4393354,2024-08-31T21:00:00Z,#0061A8,#0061A8,Liga Profesional,2024,Velez Sarsfield,0.0,
2504781115,AttemptSaved,10096,206973,Yeison Gordillo,77.0791262152,30.34,47,True,True,80.2325242728,30.72125,33.77125,1.219999994,0.0203515570610762,RightFoot,RegularPlay,SecondHalf,False,False,False,OutsideBox,10096,10090,Union,Instituto,0,2,4086965,2023-02-06T00:30:00Z,#C01820,#C01820,Liga Profesional,2024,Velez Sarsfield,,
2507559111,AttemptSaved,10096,206973,Yeison Gordillo,86.1382352936,35.22,22,True,True,88.2852941176,34.83875,31.4075,1.219999994,0.0412945300340652,RightFoot,RegularPlay,FirstHalf,False,False,False,OutsideBox,213534,10096,Barracas Central,Union,1,1,4086952,2023-02-13T20:00:00Z,#C01820,#C01820,Liga Profesional,2024,Velez Sarsfield,,
2514787005,Miss,10096,206973,Yeison Gordillo,76.7412621376,42.6396875,4,False,False,101.681034483,0.0,0.1311848342,0.802631575,0.0140219023451209,RightFoot,RegularPlay,FirstHalf,False,False,False,OutsideBox,10096,10094,Union,Estudiantes,2,0,4087023,2023-03-03T23:00:00Z,#C01820,#C01820,Liga Profesional,2024,Velez Sarsfield,,
2514795619,AttemptSaved,10096,206973,Yeison Gordillo,74.4888349536,36.745,46,True,True,85.0647058816,35.3725,32.475,1.219999994,0.0195540338754654,RightFoot,RegularPlay,SecondHalf,False,False,False,OutsideBox,10096,10094,Union,Estudiantes,2,0,4087023,2023-03-03T23:00:00Z,#C01820,#C01820,Liga Profesional,2024,Velez Sarsfield,,
