id,league,league_id,country,round,season,season_id,home_team_id,away_team_id,link
11937242,Liga Profesional,155,Argentina,10,2024,57478,3206,3209,https://www.sofascore.com/es/football/match/independiente-estudiantes-de-la-plata/gobsjob#id:11937242
11937248,Liga Profesional,155,Argentina,10,2024,57478,7628,6074,https://www.sofascore.com/es/football/match/tigre-godoy-cruz/zwcsDcd#id:11937248
11937229,Liga Profesional,155,Argentina,9,2024,57478,3212,3206,https://www.sofascore.com/es/football/match/newells-old-boys-estudiantes-de-la-plata/gobsmob#id:11937229
11937224,Liga Profesional,155,Argentina,9,2024,57478,6074,3216,https://www.sofascore.com/es/football/match/godoy-cruz-argentinos-juniors/qobszwc#id:11937224
11937235,Liga Profesional,155,Argentina,9,2024,57478,3208,36839,https://www.sofascore.com/es/football/match/defensa-y-justicia-velez-sarsfield/iobsOLo#id:11937235
11937233,Liga Profesional,155,Argentina,9,2024,57478,3210,4937,https://www.sofascore.com/es/football/match/instituto-de-cordoba-talleres/kobsMYb#id:11937233
11937230,Liga Profesional,155,Argentina,9,2024,57478,3209,3201,https://www.sofascore.com/es/football/match/independiente-san-lorenzo/bobsjob#id:11937230
11937227,Liga Profesional,155,Argentina,9,2024,57478,7629,3215,https://www.sofascore.com/es/football/match/huracan-racing-club/pobsEcd#id:11937227
11937226,Liga Profesional,155,Argentina,9,2024,57478,3204,3211,https://www.sofascore.com/es/football/match/river-plate-club-atletico-union-de-santa-fe/eobslob#id:11937226
11937225,Liga Profesional,155,Argentina,9,2024,57478,42338,3203,https://www.sofascore.com/es/football/match/sarmiento-belgrano/dobsNWq#id:11937225
11937232,Liga Profesional,155,Argentina,9,2024,57478,3202,65668,https://www.sofascore.com/es/football/match/barracas-central-boca-juniors/cobstnB#id:11937232
11937231,Liga Profesional,155,Argentina,9,2024,57478,36833,36842,https://www.sofascore.com/es/football/match/independiente-rivadavia-atletico-tucuman/ILosRLo#id:11937231
11937223,Liga Profesional,155,Argentina,9,2024,57478,3218,7628,https://www.sofascore.com/es/football/match/tigre-lanus/tobsDcd#id:11937223
11937222,Liga Profesional,155,Argentina,9,2024,57478,189723,65676,https://www.sofascore.com/es/football/match/deportivo-riestra-central-cordoba/BnBsyUAb#id:11937222
11937228,Liga Profesional,155,Argentina,9,2024,57478,3205,3217,https://www.sofascore.com/es/football/match/rosario-central-gimnasia-y-esgrima/fobsrob#id:11937228
11937234,Liga Profesional,155,Argentina,9,2024,57478,36837,3219,https://www.sofascore.com/es/football/match/platense-banfield/uobsMLo#id:11937234
11937213,Liga Profesional,155,Argentina,8,2024,57478,36842,3209,https://www.sofascore.com/es/football/match/independiente-rivadavia-independiente/jobsRLo#id:11937213
11937214,Liga Profesional,155,Argentina,8,2024,57478,3201,3212,https://www.sofascore.com/es/football/match/newells-old-boys-san-lorenzo/bobsmob#id:11937214
11937216,Liga Profesional,155,Argentina,8,2024,57478,3217,7629,https://www.sofascore.com/es/football/match/huracan-rosario-central/robsEcd#id:11937216
11937210,Liga Profesional,155,Argentina,8,2024,57478,3219,3210,https://www.sofascore.com/es/football/match/banfield-talleres/kobsuob#id:11937210
11937215,Liga Profesional,155,Argentina,8,2024,57478,3206,3205,https://www.sofascore.com/es/football/match/estudiantes-de-la-plata-gimnasia-y-esgrima/fobsgob#id:11937215
11937217,Liga Profesional,155,Argentina,8,2024,57478,3215,3204,https://www.sofascore.com/es/football/match/racing-club-club-atletico-union-de-santa-fe/eobspob#id:11937217
11937218,Liga Profesional,155,Argentina,8,2024,57478,3211,42338,https://www.sofascore.com/es/football/match/sarmiento-river-plate/lobsNWq#id:11937218
11937211,Liga Profesional,155,Argentina,8,2024,57478,4937,3202,https://www.sofascore.com/es/football/match/instituto-de-cordoba-boca-juniors/cobsMYb#id:11937211
11937212,Liga Profesional,155,Argentina,8,2024,57478,65668,36833,https://www.sofascore.com/es/football/match/barracas-central-atletico-tucuman/ILostnB#id:11937212
11937209,Liga Profesional,155,Argentina,8,2024,57478,36839,36837,https://www.sofascore.com/es/football/match/defensa-y-justicia-platense/MLosOLo#id:11937209
11937208,Liga Profesional,155,Argentina,8,2024,57478,65676,3208,https://www.sofascore.com/es/football/match/central-cordoba-velez-sarsfield/iobsBnB#id:11937208
11937221,Liga Profesional,155,Argentina,8,2024,57478,7628,189723,https://www.sofascore.com/es/football/match/deportivo-riestra-tigre/DcdsyUAb#id:11937221
11937220,Liga Profesional,155,Argentina,8,2024,57478,3216,3218,https://www.sofascore.com/es/football/match/lanus-argentinos-juniors/qobstob#id:11937220
11937219,Liga Profesional,155,Argentina,8,2024,57478,3203,6074,https://www.sofascore.com/es/football/match/godoy-cruz-belgrano/dobszwc#id:11937219
11937195,Liga Profesional,155,Argentina,7,2024,57478,189723,3216,https://www.sofascore.com/es/football/match/deportivo-riestra-argentinos-juniors/qobsyUAb#id:11937195
11937201,Liga Profesional,155,Argentina,7,2024,57478,3205,3201,https://www.sofascore.com/es/football/match/gimnasia-y-esgrima-san-lorenzo/bobsfob#id:11937201
11937202,Liga Profesional,155,Argentina,7,2024,57478,3212,36842,https://www.sofascore.com/es/football/match/independiente-rivadavia-newells-old-boys/mobsRLo#id:11937202
11937203,Liga Profesional,155,Argentina,7,2024,57478,3209,65668,https://www.sofascore.com/es/football/match/barracas-central-independiente/jobstnB#id:11937203
11937206,Liga Profesional,155,Argentina,7,2024,57478,3210,36839,https://www.sofascore.com/es/football/match/defensa-y-justicia-talleres/kobsOLo#id:11937206
11937198,Liga Profesional,155,Argentina,7,2024,57478,42338,3215,https://www.sofascore.com/es/football/match/sarmiento-racing-club/pobsNWq#id:11937198
11937197,Liga Profesional,155,Argentina,7,2024,57478,6074,3211,https://www.sofascore.com/es/football/match/godoy-cruz-river-plate/lobszwc#id:11937197
11937200,Liga Profesional,155,Argentina,7,2024,57478,7629,3206,https://www.sofascore.com/es/football/match/huracan-estudiantes-de-la-plata/gobsEcd#id:11937200
11937196,Liga Profesional,155,Argentina,7,2024,57478,3218,3203,https://www.sofascore.com/es/football/match/lanus-belgrano/dobstob#id:11937196
11937207,Liga Profesional,155,Argentina,7,2024,57478,36837,3208,https://www.sofascore.com/es/football/match/platense-velez-sarsfield/iobsMLo#id:11937207
11937204,Liga Profesional,155,Argentina,7,2024,57478,36833,4937,https://www.sofascore.com/es/football/match/atletico-tucuman-instituto-de-cordoba/MYbsILo#id:11937204
11937194,Liga Profesional,155,Argentina,7,2024,57478,7628,65676,https://www.sofascore.com/es/football/match/central-cordoba-tigre/DcdsBnB#id:11937194
