team,stat,value,class,table,target,league,country,season
vs. Independiente,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Instituto,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Lanús,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,TL,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Platense,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Racing Club,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. River Plate,TL,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Talleres,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Tigre,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Unión,TL,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,TL,2.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,TE,2.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,TE,3.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Banfield,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Belgrano,TE,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,TE,2.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,TE,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Huracán,TE,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente,TE,2.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,TE,3.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Instituto,TE,5.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Lanús,TE,2.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,TE,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Platense,TE,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Racing Club,TE,2.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. River Plate,TE,2.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,TE,4.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Talleres,TE,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Tigre,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Unión,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,TE,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Banfield,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Belgrano,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,GC.1,2.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,GC.1,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Huracán,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente,GC.1,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Instituto,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Lanús,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,GC.1,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Platense,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Racing Club,GC.1,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. River Plate,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,GC.1,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,GC.1,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Talleres,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Tigre,GC.1,1.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Unión,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,GC.1,0.0,Goles,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,PSxG,11.4,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,PSxG,16.4,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Banfield,PSxG,12.8,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,PSxG,8.0,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Belgrano,PSxG,13.2,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,PSxG,15.4,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,PSxG,10.0,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,PSxG,10.9,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,PSxG,16.3,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,PSxG,14.2,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,PSxG,12.0,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,PSxG,11.7,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Huracán,PSxG,13.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente,PSxG,8.3,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,PSxG,9.4,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Instituto,PSxG,12.9,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Lanús,PSxG,16.0,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,PSxG,12.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Platense,PSxG,11.6,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Racing Club,PSxG,16.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. River Plate,PSxG,17.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,PSxG,13.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,PSxG,10.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,PSxG,9.2,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Talleres,PSxG,12.7,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Tigre,PSxG,13.1,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Unión,PSxG,14.4,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,PSxG,18.2,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,PSxG/SoT,0.24,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,PSxG/SoT,0.29,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Banfield,PSxG/SoT,0.27,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,PSxG/SoT,0.23,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Belgrano,PSxG/SoT,0.32,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,PSxG/SoT,0.31,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,PSxG/SoT,0.22,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,PSxG/SoT,0.24,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,PSxG/SoT,0.3,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,PSxG/SoT,0.22,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,PSxG/SoT,0.21,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,PSxG/SoT,0.28,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Huracán,PSxG/SoT,0.32,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente,PSxG/SoT,0.16,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,PSxG/SoT,0.29,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Instituto,PSxG/SoT,0.3,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Lanús,PSxG/SoT,0.33,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,PSxG/SoT,0.27,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Platense,PSxG/SoT,0.28,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Racing Club,PSxG/SoT,0.27,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. River Plate,PSxG/SoT,0.25,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,PSxG/SoT,0.33,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,PSxG/SoT,0.22,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,PSxG/SoT,0.23,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Talleres,PSxG/SoT,0.26,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Tigre,PSxG/SoT,0.25,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Unión,PSxG/SoT,0.31,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,PSxG/SoT,0.33,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,PSxG+/-,3.4,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,PSxG+/-,3.4,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Banfield,PSxG+/-,3.8,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,PSxG+/-,3.0,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Belgrano,PSxG+/-,-0.8,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,PSxG+/-,1.4,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,PSxG+/-,0.0,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,PSxG+/-,1.9,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,PSxG+/-,2.3,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,PSxG+/-,0.2,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,PSxG+/-,-1.0,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,PSxG+/-,-0.3,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Huracán,PSxG+/-,1.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente,PSxG+/-,1.3,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,PSxG+/-,1.4,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Instituto,PSxG+/-,-4.1,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Lanús,PSxG+/-,-1.0,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,PSxG+/-,7.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Platense,PSxG+/-,1.6,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Racing Club,PSxG+/-,-0.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. River Plate,PSxG+/-,2.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,PSxG+/-,0.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,PSxG+/-,1.5,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,PSxG+/-,1.2,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Talleres,PSxG+/-,-4.3,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Tigre,PSxG+/-,-0.9,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Unión,PSxG+/-,0.4,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,PSxG+/-,-3.8,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,/90,0.28,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,/90,0.28,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Banfield,/90,0.31,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,/90,0.25,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Belgrano,/90,-0.07,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,/90,0.12,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,/90,0.0,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,/90,0.15,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,/90,0.19,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,/90,0.01,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,/90,-0.09,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,/90,-0.03,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Huracán,/90,0.13,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente,/90,0.11,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,/90,0.11,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Instituto,/90,-0.34,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Lanús,/90,-0.08,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,/90,0.63,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Platense,/90,0.14,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Racing Club,/90,-0.04,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. River Plate,/90,0.21,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,/90,0.04,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,/90,0.14,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,/90,0.1,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Talleres,/90,-0.36,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Tigre,/90,-0.08,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Unión,/90,0.04,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,/90,-0.31,Expectativa,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Cmp,89.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Cmp,73.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Banfield,Cmp,65.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Cmp,65.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Cmp,63.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Cmp,66.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Cmp,61.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Cmp,47.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Cmp,56.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Cmp,84.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Cmp,49.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Cmp,46.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Huracán,Cmp,44.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente,Cmp,37.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Cmp,48.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Instituto,Cmp,57.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Lanús,Cmp,40.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Cmp,53.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Platense,Cmp,33.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Cmp,79.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. River Plate,Cmp,81.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Cmp,79.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Cmp,71.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Cmp,44.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Talleres,Cmp,66.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Tigre,Cmp,63.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Unión,Cmp,66.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Cmp,59.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Int.,254.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Int.,161.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Banfield,Int.,179.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,Int.,178.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Belgrano,Int.,198.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,Int.,139.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,Int.,171.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,Int.,147.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,Int.,159.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,Int.,199.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,Int.,158.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,Int.,113.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Huracán,Int.,130.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente,Int.,110.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,Int.,151.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Instituto,Int.,146.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Lanús,Int.,105.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,Int.,132.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Platense,Int.,128.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Racing Club,Int.,218.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. River Plate,Int.,245.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,Int.,221.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,Int.,204.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,Int.,124.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Talleres,Int.,169.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Tigre,Int.,162.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Unión,Int.,147.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,Int.,154.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,% Cmp,35.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,% Cmp,45.3,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Banfield,% Cmp,36.3,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Barracas Central,% Cmp,36.5,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Belgrano,% Cmp,31.8,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Boca Juniors,% Cmp,47.5,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Cen. Córdoba–SdE,% Cmp,35.7,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Defensa y Just,% Cmp,32.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Deportivo Riestra,% Cmp,35.2,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Estudiantes,% Cmp,42.2,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Gimnasia–LP,% Cmp,31.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Godoy Cruz,% Cmp,40.7,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Huracán,% Cmp,33.8,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente,% Cmp,33.6,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Independiente Rivadavia,% Cmp,31.8,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Instituto,% Cmp,39.0,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Lanús,% Cmp,38.1,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Newell's OB,% Cmp,40.2,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Platense,% Cmp,25.8,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Racing Club,% Cmp,36.2,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. River Plate,% Cmp,33.1,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Rosario Central,% Cmp,35.7,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. San Lorenzo,% Cmp,34.8,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Sarmiento,% Cmp,35.5,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Talleres,% Cmp,39.1,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Tigre,% Cmp,38.9,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Unión,% Cmp,44.9,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Vélez Sarsfield,% Cmp,38.3,Iniciado,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Arg Juniors,Att (GK),265.0,Pases,Keeper Adv,Against,Liga Profesional,Argentina,2024
vs. Atlé Tucumán,Att (GK),289.0,Pases,Keeper Adv,Against,Liga Profesional,Argentina,2024
