Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,Equipo
Gregorio Rodríguez,ARG,"DL,CC",24.211,10,2,223.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,1.6,10.0,2.0,14.0,0.4,0.0,0.4,0.4,0.4,0.31,0.33,0.63,0.31,0.63,Partidos,Instituto
Stéfano Moreyra,ARG,CC,22.331,6,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Partidos,Instituto
Nicolás Barrientos,ARG,CC,29.132,6,1,147.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,2.0,9.0,10.0,0.61,0.0,0.61,0.61,0.61,0.28,0.13,0.41,0.28,0.41,Partidos,Instituto
Jeremías Lázaro,ARG,"DL,CC",20.048,6,0,106.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,3.0,6.0,7.0,0.0,0.85,0.85,0.0,0.85,0.1,0.18,0.27,0.1,0.27,Partidos,Instituto
Franco Díaz,ARG,CC,23.353,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Instituto
Matías Romero,ARG,CC,28.196,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Instituto
Marcos Peano,ARG,PO,25.305,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Instituto
Joaquín Papaleo,ARG,PO,30.145,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Instituto
Lautaro Carrera,ARG,DF,21.077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Instituto
Emanuel Bilbao,ARG,PO,34.286,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Instituto
