player,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,league,season,team,country
Facundo Suárez,ARG,DL,30.161643835616438,10,4,386.0,4.3,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,0.6,2.2,5.0,7.0,17.0,0.47,0.47,0.93,0.47,0.93,0.37,0.13,0.5,0.37,0.5,Partidos,Liga Profesional,2024,Instituto,Argentina
Gregorio Rodríguez,ARG,"DL,CC",24.616438356164384,11,2,285.0,3.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,0.9,1.7,13.0,2.0,19.0,0.63,0.0,0.63,0.63,0.63,0.23,0.29,0.52,0.23,0.52,Partidos,Liga Profesional,2024,Instituto,Argentina
Víctor Cabrera,ARG,DF,31.55890410958904,3,2,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Instituto,Argentina
Stéfano Moreyra,ARG,CC,22.945205479452056,6,2,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Partidos,Liga Profesional,2024,Instituto,Argentina
Brian Cuello,ARG,"CC,DL",26.915068493150685,11,1,219.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.4,3.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.18,0.11,0.18,Partidos,Liga Profesional,2024,Instituto,Argentina
Miguel Brizuela,ARG,DF,27.649315068493152,5,1,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Partidos,Liga Profesional,2024,Instituto,Argentina
Jeremías Lázaro,ARG,"DL,CC",20.16986301369863,6,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.25,0.12,0.25,Partidos,Liga Profesional,2024,Instituto,Argentina
Silvio Romero,ARG,"DL,CC",36.104109589041094,5,0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,Partidos,Liga Profesional,2024,Instituto,Argentina
Rodrigo Pérez,URU,CC,28.101369863013698,4,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.4,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.47,0.27,0.74,0.47,0.74,Partidos,Liga Profesional,2024,Instituto,Argentina
Nicolás Barrientos,ARG,CC,29.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Liga Profesional,2024,Instituto,Argentina
Emanuel Bilbao,ARG,PO,34.821917808219176,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Liga Profesional,2024,Instituto,Argentina
Lautaro Carrera,ARG,DF,21.24931506849315,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Liga Profesional,2024,Instituto,Argentina
Franco Díaz,ARG,CC,24.002739726027396,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Liga Profesional,2024,Instituto,Argentina
Guido Mainero,ARG,CC,29.435616438356163,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Liga Profesional,2024,Instituto,Argentina
Joaquín Papaleo,ARG,PO,30.435616438356163,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Liga Profesional,2024,Instituto,Argentina
Marcos Peano,ARG,PO,25.873972602739727,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Liga Profesional,2024,Instituto,Argentina
Matías Romero,ARG,CC,28.575342465753426,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos,Liga Profesional,2024,Instituto,Argentina
Total del equipo,nan,,26.0,12,132,1080.0,12.0,17.0,13.0,30.0,17.0,0.0,1.0,25.0,2.0,11.5,10.7,8.7,19.3,111.0,349.0,343.0,1.42,1.08,2.5,1.42,2.5,0.95,0.72,1.68,0.89,1.61,,Liga Profesional,2024,Instituto,Argentina
Total del oponente,nan,,27.7,12,132,1080.0,12.0,8.0,4.0,12.0,6.0,2.0,2.0,34.0,4.0,10.4,8.9,7.2,16.1,153.0,430.0,428.0,0.67,0.33,1.0,0.5,0.83,0.87,0.6,1.47,0.74,1.34,,Liga Profesional,2024,Instituto,Argentina
Guido Herrera,ARG,PO,32.4986301369863,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Talleres,Argentina
Gastón Benavídez,ARG,DF,28.852054794520548,12,10,926.0,10.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,1.0,2.4,27.0,59.0,51.0,0.1,0.19,0.29,0.1,0.29,0.13,0.1,0.23,0.13,0.23,Partidos,Liga Profesional,2024,Talleres,Argentina
Federico Girotti,ARG,DL,25.24109589041096,12,10,874.0,9.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.6,2.6,0.2,2.8,10.0,11.0,53.0,0.1,0.0,0.1,0.1,0.1,0.27,0.02,0.29,0.27,0.29,Partidos,Liga Profesional,2024,Talleres,Argentina
Miguel Navarro,VEN,DF,25.506849315068493,9,9,777.0,8.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,10.0,43.0,35.0,0.0,0.12,0.12,0.0,0.12,0.0,0.02,0.02,0.0,0.02,Partidos,Liga Profesional,2024,Talleres,Argentina
Marcos Portillo,ARG,CC,24.578082191780823,9,8,562.0,6.2,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.7,0.7,1.3,2.0,6.0,36.0,15.0,0.32,0.32,0.64,0.32,0.64,0.11,0.2,0.32,0.11,0.32,Partidos,Liga Profesional,2024,Talleres,Argentina
Diego Ortegoza,ARG,CC,27.361643835616437,10,8,534.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.8,0.9,5.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.14,0.02,0.14,Partidos,Liga Profesional,2024,Talleres,Argentina
Lucas Suárez,ARG,DF,29.45205479452055,7,7,627.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Partidos,Liga Profesional,2024,Talleres,Argentina
Matías Catalán,CHI,DF,32.02739726027397,7,7,573.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Talleres,Argentina
Juan Portillo,ARG,"DF,CC",24.28219178082192,8,6,623.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,3.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Partidos,Liga Profesional,2024,Talleres,Argentina
Alejandro Martínez,ARG,DL,27.36986301369863,7,6,566.0,6.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.4,1.3,23.0,20.0,46.0,0.32,0.0,0.32,0.32,0.32,0.14,0.06,0.2,0.14,0.2,Partidos,Liga Profesional,2024,Talleres,Argentina
Juan Camilo Portilla,COL,CC,25.964383561643835,11,6,565.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,8.0,28.0,4.0,0.0,0.16,0.16,0.0,0.16,0.05,0.08,0.13,0.05,0.13,Partidos,Liga Profesional,2024,Talleres,Argentina
Bruno Barticciotto,CHI,"DL,CC",23.312328767123287,11,6,561.0,6.2,6.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,1.3,1.3,0.5,1.8,9.0,25.0,30.0,0.96,0.16,1.12,0.96,1.12,0.2,0.08,0.28,0.2,0.28,Partidos,Liga Profesional,2024,Talleres,Argentina
Rubén Botta,ARG,CC,34.57808219178082,7,5,459.0,5.1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.7,1.4,11.0,34.0,28.0,0.0,0.39,0.39,0.0,0.39,0.14,0.14,0.28,0.14,0.28,Partidos,Liga Profesional,2024,Talleres,Argentina
Kevin Mantilla,COL,DF,21.27123287671233,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Partidos,Liga Profesional,2024,Talleres,Argentina
Matías Galarza,PAR,"CC,DL",22.54794520547945,11,5,403.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.9,0.9,0.2,1.1,3.0,17.0,28.0,0.22,0.0,0.22,0.22,0.22,0.2,0.04,0.25,0.2,0.25,Partidos,Liga Profesional,2024,Talleres,Argentina
Ramiro Ruiz,ARG,DL,24.44109589041096,8,4,311.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,0.5,1.9,3.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.39,0.16,0.54,0.39,0.54,Partidos,Liga Profesional,2024,Talleres,Argentina
Blas Riveros,PAR,DF,26.56986301369863,6,3,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,8.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Partidos,Liga Profesional,2024,Talleres,Argentina
